nr,i1_legid,i1_rcs_p,i1_rcs_e,i1_dep_1_p,i1_dep_1_e,i1_dep_1_place,i1_rcf_1_p,i1_rcf_1_e,i1_rcf_1_place,i1_dep_2_p,i1_dep_2_e,i1_dep_2_place,i1_rcf_2_p,i1_rcf_2_e,i1_rcf_2_place,i1_dep_3_p,i1_dep_3_e,i1_dep_3_place,i1_rcf_3_p,i1_rcf_3_e,i1_rcf_3_place,i1_dlv_p,i1_dlv_e,i1_hops,i2_legid,i2_rcs_p,i2_rcs_e,i2_dep_1_p,i2_dep_1_e,i2_dep_1_place,i2_rcf_1_p,i2_rcf_1_e,i2_rcf_1_place,i2_dep_2_p,i2_dep_2_e,i2_dep_2_place,i2_rcf_2_p,i2_rcf_2_e,i2_rcf_2_place,i2_dep_3_p,i2_dep_3_e,i2_dep_3_place,i2_rcf_3_p,i2_rcf_3_e,i2_rcf_3_place,i2_dlv_p,i2_dlv_e,i2_hops,i3_legid,i3_rcs_p,i3_rcs_e,i3_dep_1_p,i3_dep_1_e,i3_dep_1_place,i3_rcf_1_p,i3_rcf_1_e,i3_rcf_1_place,i3_dep_2_p,i3_dep_2_e,i3_dep_2_place,i3_rcf_2_p,i3_rcf_2_e,i3_rcf_2_place,i3_dep_3_p,i3_dep_3_e,i3_dep_3_place,i3_rcf_3_p,i3_rcf_3_e,i3_rcf_3_place,i3_dlv_p,i3_dlv_e,i3_hops,o_legid,o_rcs_p,o_rcs_e,o_dep_1_p,o_dep_1_e,o_dep_1_place,o_rcf_1_p,o_rcf_1_e,o_rcf_1_place,o_dep_2_p,o_dep_2_e,o_dep_2_place,o_rcf_2_p,o_rcf_2_e,o_rcf_2_place,o_dep_3_p,o_dep_3_e,o_dep_3_place,o_rcf_3_p,o_rcf_3_e,o_rcf_3_place,o_dlv_p,o_dlv_e,o_hops,legs
0,5182,199,218,210,215,609,935,736,256,0,0,0,0,0,0,0,0,0,0,0,0,840,1539,1,573,3315,2880,300,696,431,1965,515,256,0,0,0,0,0,0,0,0,0,0,0,0,2760,1280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10121,9919,7559,240,2865,256,1330,1265,411,0,0,0,0,0,0,0,0,0,0,0,0,780,434,1,2
1,6523,844,584,90,297,700,1935,1415,431,0,0,0,0,0,0,0,0,0,0,0,0,3780,5790,1,13946,2964,2888,180,239,257,970,756,149,160,331,149,1080,1142,431,0,0,0,0,0,0,7020,6628,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,3030,3016,300,286,431,835,526,256,0,0,0,0,0,0,0,0,0,0,0,0,3870,445,1,2
2,5878,4380,4119,90,280,456,905,547,700,0,0,0,0,0,0,0,0,0,0,0,0,3780,321,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12691,1433,642,240,969,700,1200,1280,349,0,0,0,0,0,0,0,0,0,0,0,0,550,1520,1,1
3,1275,759,169,240,777,173,340,577,349,1340,1109,349,1240,820,671,0,0,0,0,0,0,335,535,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12932,3963,3176,90,883,671,815,956,700,0,0,0,0,0,0,0,0,0,0,0,0,3780,159,1,1
4,8117,1597,1485,150,241,411,585,612,128,340,289,128,130,135,166,0,0,0,0,0,0,4230,1255,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12805,152,179,180,131,166,230,167,128,810,872,128,740,346,411,0,0,0,0,0,0,4140,4797,2,1
5,9889,181,98,240,259,815,215,223,128,0,0,0,0,0,0,0,0,0,0,0,0,4890,115,1,9915,59,59,525,1934,128,3615,2270,128,0,0,0,0,0,0,0,0,0,0,0,0,3960,21025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6430,136,29,240,308,128,960,682,597,0,0,0,0,0,0,0,0,0,0,0,0,3960,467,1,2
6,3997,1300,212,240,1267,815,270,135,391,0,0,0,0,0,0,0,0,0,0,0,0,5070,2161,1,9805,252,33,240,399,815,275,164,391,0,0,0,0,0,0,0,0,0,0,0,0,5070,727,1,571,250,153,150,181,610,525,181,281,415,764,281,80,108,391,0,0,0,0,0,0,2880,1258,2,2544,329,81,570,763,391,80,79,281,0,0,0,0,0,0,0,0,0,0,0,0,2880,151,1,3
7,7125,139,87,240,232,783,255,154,815,460,563,815,215,182,128,0,0,0,0,0,0,4890,374,2,10590,303,110,240,371,815,215,143,128,0,0,0,0,0,0,0,0,0,0,0,0,4890,919,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6753,119,19,240,298,128,960,678,597,0,0,0,0,0,0,0,0,0,0,0,0,3960,161,1,2
8,10481,387,68,240,514,815,285,219,485,0,0,0,0,0,0,0,0,0,0,0,0,5160,1170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5570,933,1074,180,677,485,885,695,149,0,0,0,0,0,0,0,0,0,0,0,0,6680,2830,1,1
9,3212,6145,6013,300,385,690,810,635,555,0,0,0,0,0,0,0,0,0,0,0,0,1560,672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13468,495,336,300,481,555,820,625,356,0,0,0,0,0,0,0,0,0,0,0,0,3960,218,1,1
10,12343,748,96,150,758,281,395,152,128,0,0,0,0,0,0,0,0,0,0,0,0,3960,193,1,8553,231,154,150,187,308,620,643,128,0,0,0,0,0,0,0,0,0,0,0,0,4200,282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13961,1580,1088,240,685,128,905,581,413,0,0,0,0,0,0,0,0,0,0,0,0,3960,223,1,2
11,8473,1415,1157,150,346,377,280,179,485,0,0,0,0,0,0,0,0,0,0,0,0,5160,977,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11830,730,591,180,257,485,145,127,281,0,0,0,0,0,0,0,0,0,0,0,0,2880,20,1,1
12,9931,898,112,240,965,281,415,186,815,0,0,0,0,0,0,0,0,0,0,0,0,6715,11,1,11023,974,310,240,845,281,415,157,815,0,0,0,0,0,0,0,0,0,0,0,0,5160,47,1,9401,227,216,150,102,614,455,187,815,0,0,0,0,0,0,0,0,0,0,0,0,5005,869,1,4744,238,59,135,254,815,280,319,485,0,0,0,0,0,0,0,0,0,0,0,0,5160,140,1,3
13,12666,3140,3004,240,324,445,995,808,128,0,0,0,0,0,0,0,0,0,0,0,0,3960,200,1,7177,1499,733,300,1059,413,970,759,128,0,0,0,0,0,0,0,0,0,0,0,0,3960,1320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,395,40,165,475,128,1275,1058,413,0,0,0,0,0,0,0,0,0,0,0,0,3960,934,1,2
14,14132,142,136,240,182,456,1085,1093,349,0,0,0,0,0,0,0,0,0,0,0,0,550,289,1,12448,2331,1814,180,653,671,890,917,349,0,0,0,0,0,0,0,0,0,0,0,0,550,1528,1,11408,447,538,180,36,468,935,987,349,0,0,0,0,0,0,0,0,0,0,0,0,385,693,1,3390,405,133,180,406,349,840,749,149,0,0,0,0,0,0,0,0,0,0,0,0,6680,164,1,3
15,13119,1081,413,180,859,753,1575,928,511,1014,1531,511,961,1282,815,0,0,0,0,0,0,9720,687,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11725,37994,36949,90,1075,815,1210,983,700,0,0,0,0,0,0,0,0,0,0,0,0,3780,11,1,1
16,13572,778,254,420,894,349,1410,2375,548,0,0,0,0,0,0,0,0,0,0,0,0,320,580,1,5770,1191,792,420,792,349,1411,1353,548,0,0,0,0,0,0,0,0,0,0,0,0,604,2110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4551,2931,2589,240,532,548,920,720,128,0,0,0,0,0,0,0,0,0,0,0,0,3960,108,1,2
17,1388,27415,26485,90,963,815,1220,1027,700,0,0,0,0,0,0,0,0,0,0,0,0,3780,5,1,13517,3366,1315,90,2099,485,1250,840,700,0,0,0,0,0,0,0,0,0,0,0,0,3780,427,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2421,927,390,90,565,700,2320,1527,411,0,0,0,0,0,0,0,0,0,0,0,0,3420,1681,1,2
18,4697,671,140,240,713,815,280,381,153,0,0,0,0,0,0,0,0,0,0,0,0,5160,2959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321,3180,1730,90,1590,153,1240,733,700,5,409,700,935,635,538,0,0,0,0,0,0,3780,1115,2,1
19,13297,5442,4568,120,934,236,420,260,815,495,655,815,810,688,441,0,0,0,0,0,0,5040,3013,2,10625,518,488,170,140,134,465,543,349,1210,1150,349,920,808,441,0,0,0,0,0,0,1175,1037,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2033,1317,1283,360,629,441,700,784,349,0,0,0,0,0,0,0,0,0,0,0,0,550,492,1,2
20,9481,327,167,90,278,579,1010,584,128,0,0,0,0,0,0,0,0,0,0,0,0,3780,358,1,9455,302,53,90,268,579,1010,562,128,0,0,0,0,0,0,0,0,0,0,0,0,3780,260,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11277,606,52,240,763,128,810,542,409,0,0,0,0,0,0,0,0,0,0,0,0,3960,7005,1,2
21,5838,249,116,150,223,391,385,155,815,0,0,0,0,0,0,0,0,0,0,0,0,3160,3518,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10003,82,16,135,138,815,285,157,485,0,0,0,0,0,0,0,0,0,0,0,0,5160,432,1,1
22,10613,2127,234,300,2158,332,705,783,815,0,0,0,0,0,0,0,0,0,0,0,0,5400,1459,1,9378,47,34,150,100,614,455,189,815,0,0,0,0,0,0,0,0,0,0,0,0,5005,873,1,8092,1252,410,150,932,349,350,72,815,0,0,0,0,0,0,0,0,0,0,0,0,2880,236,1,11117,139,34,240,292,815,945,867,403,0,0,0,0,0,0,0,0,0,0,0,0,5160,2060,1,3
23,1363,287,172,150,179,746,870,828,349,905,983,349,4941,834,778,0,0,0,0,0,0,2735,3341,2,9350,813,426,330,659,349,5001,787,778,0,0,0,0,0,0,0,0,0,0,0,0,2854,2207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9042,4583,4312,780,1057,778,1205,832,349,1360,1623,349,1075,808,757,0,0,0,0,0,0,1075,4090,2,2
24,4038,295,98,240,382,815,270,143,391,0,0,0,0,0,0,0,0,0,0,0,0,5070,2015,1,13373,921,389,300,814,628,910,1544,128,2855,2210,128,960,805,391,0,0,0,0,0,0,3960,1629,2,14188,3954,657,210,2422,233,330,947,281,1460,1868,281,810,949,391,0,0,0,0,0,0,3810,1569,2,5171,989,343,240,830,391,270,134,815,380,515,815,260,156,783,0,0,0,0,0,0,5100,1966,2,3
25,3091,692,72,270,851,349,930,1062,456,0,0,0,0,0,0,0,0,0,0,0,0,435,3613,1,6901,59,87,240,171,128,970,864,456,0,0,0,0,0,0,0,0,0,0,0,0,3960,122,1,1309,3204,820,240,2586,398,815,705,456,0,0,0,0,0,0,0,0,0,0,0,0,9700,213,1,324,1233,380,150,944,456,1030,821,128,925,1167,128,705,631,667,0,0,0,0,0,0,4230,5859,2,3
26,13510,1211,494,90,772,485,1250,897,700,0,0,0,0,0,0,0,0,0,0,0,0,3780,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8957,860,525,90,368,700,1935,1424,431,0,0,0,0,0,0,0,0,0,0,0,0,3780,1287,1,1
27,4991,115,51,240,227,476,975,731,815,0,0,0,0,0,0,0,0,0,0,0,0,6465,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9817,814,78,135,812,815,300,290,527,0,0,0,0,0,0,0,0,0,0,0,0,5100,24,1,1
28,11674,123,48,420,596,349,1240,1048,413,0,0,0,0,0,0,0,0,0,0,0,0,360,365,1,2270,1064,534,90,563,700,860,495,413,0,0,0,0,0,0,0,0,0,0,0,0,3780,1284,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5820,2741,2591,150,265,413,1000,761,128,640,862,128,95,183,391,0,0,0,0,0,0,4230,2649,2,2
29,7108,342,9,300,583,753,510,322,174,660,784,174,1155,1805,128,845,193,128,1500,939,815,3960,444,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3618,1045,36,240,1195,815,995,884,671,0,0,0,0,0,0,0,0,0,0,0,0,4680,2,1,1
30,394,1024,892,420,559,815,845,726,809,0,0,0,0,0,0,0,0,0,0,0,0,3960,2341,1,13723,56,24,240,241,128,785,516,809,0,0,0,0,0,0,0,0,0,0,0,0,3960,159,1,4861,16266,15981,240,512,128,780,521,809,0,0,0,0,0,0,0,0,0,0,0,0,3960,3513,1,12166,1545,1244,150,411,809,725,606,128,95,192,128,210,242,134,0,0,0,0,0,0,4170,2184,2,3
31,13559,139,10,240,305,476,975,818,815,0,0,0,0,0,0,0,0,0,0,0,0,5040,786,1,144,216,87,240,310,476,985,741,815,0,0,0,0,0,0,0,0,0,0,0,0,6465,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4319,114,31,240,260,815,465,342,752,0,0,0,0,0,0,0,0,0,0,0,0,5760,33561,1,2
32,11152,509,283,240,429,398,1305,369,299,0,0,0,0,0,0,0,0,0,0,0,0,9040,588,1,8595,1768,1674,150,209,411,585,634,128,1530,1538,128,570,1248,299,0,0,0,0,0,0,4230,73,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9552,16955,16424,90,556,299,820,605,700,725,958,700,695,229,561,0,0,0,0,0,0,3780,4388,2,2
33,10315,136,93,135,166,815,295,201,485,0,0,0,0,0,0,0,0,0,0,0,0,5160,111,1,5552,1082,950,240,321,476,915,758,128,165,399,128,1260,1276,485,0,0,0,0,0,0,3960,341,2,1781,141,83,150,176,128,110,122,485,0,0,0,0,0,0,0,0,0,0,0,0,4230,151,1,6793,1438,256,90,1209,485,1240,911,700,125,461,700,800,399,635,0,0,0,0,0,0,3780,3070,2,3
34,3104,3858,3529,90,702,671,815,524,700,3695,3647,700,1840,1346,308,0,0,0,0,0,0,3780,1121,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7418,1290,355,300,1310,308,805,672,256,0,0,0,0,0,0,0,0,0,0,0,0,2940,1257,1,1
35,3491,241,190,135,135,815,285,166,485,0,0,0,0,0,0,0,0,0,0,0,0,5160,337,1,10825,1220,405,155,941,134,250,276,485,0,0,0,0,0,0,0,0,0,0,0,0,2880,591,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13507,7282,6225,90,1083,485,1250,850,700,0,0,0,0,0,0,0,0,0,0,0,0,3780,1310,1,2
36,4535,5877,5505,240,584,548,920,157,128,0,0,0,0,0,0,0,0,0,0,0,0,3960,859,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14151,1315,929,240,590,128,845,502,206,0,0,0,0,0,0,0,0,0,0,0,0,3960,636,1,1
37,2172,2713,2080,90,697,700,1100,625,597,0,0,0,0,0,0,0,0,0,0,0,0,3780,3734,1,2267,4843,3975,90,928,700,905,493,597,0,0,0,0,0,0,0,0,0,0,0,0,3780,19652,1,12789,1329,569,420,1150,349,1160,950,597,0,0,0,0,0,0,0,0,0,0,0,0,635,1314,1,5014,1048,163,180,1005,597,1050,981,815,600,668,815,260,192,134,0,0,0,0,0,0,5160,1421,2,3
38,11135,898,29,240,1049,597,950,773,349,1365,1485,349,927,894,556,0,0,0,0,0,0,393,529,2,2916,1213,1161,360,352,441,875,716,349,999,1042,349,928,937,556,0,0,0,0,0,0,1143,1137,2,11419,490,515,300,219,468,1115,946,349,2389,2438,349,928,937,556,0,0,0,0,0,0,1143,1125,2,1206,4654,4545,180,199,556,555,551,134,205,240,134,775,779,339,0,0,0,0,0,0,2820,1125,2,3
39,13641,14854,14484,300,688,555,735,719,371,0,0,0,0,0,0,0,0,0,0,0,0,1560,53,1,13608,3190,2084,300,1377,308,840,659,371,0,0,0,0,0,0,0,0,0,0,0,0,1560,315,1,13585,385,77,300,639,555,805,710,371,0,0,0,0,0,0,0,0,0,0,0,0,1560,44,1,7066,2920,2875,300,303,371,855,727,308,185,316,308,300,93,761,0,0,0,0,0,0,2100,1591,2,3
40,10206,1476,1147,240,525,798,740,596,815,0,0,0,0,0,0,0,0,0,0,0,0,5590,1425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7655,390,104,180,444,815,225,162,128,675,441,128,390,345,678,0,0,0,0,0,0,3960,6015,2,1
41,11942,112,73,120,99,256,980,1610,815,0,0,0,0,0,0,0,0,0,0,0,0,5440,714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13298,132,103,135,107,815,295,193,527,0,0,0,0,0,0,0,0,0,0,0,0,5100,68,1,1
42,9153,781,41,150,865,727,125,172,128,1845,1786,128,675,592,555,0,0,0,0,0,0,4200,3985,2,11932,139,197,180,62,256,980,1497,815,1485,979,815,685,670,555,0,0,0,0,0,0,5760,1202,2,1146,1320,1230,300,347,690,750,655,555,0,0,0,0,0,0,0,0,0,0,0,0,1560,1633,1,8022,14735,14618,300,396,555,740,536,371,0,0,0,0,0,0,0,0,0,0,0,0,1560,115,1,3
43,2315,22224,21475,90,1785,476,1120,871,128,0,0,0,0,0,0,0,0,0,0,0,0,3780,354,1,1712,826,90,240,922,456,1015,795,128,0,0,0,0,0,0,0,0,0,0,0,0,3960,1025,1,4532,3355,3064,240,495,548,920,693,128,0,0,0,0,0,0,0,0,0,0,0,0,3960,311,1,12677,2974,1028,90,1968,128,1430,1157,700,0,0,0,0,0,0,0,0,0,0,0,0,3780,159,1,3
44,8251,1863,1181,90,712,308,1255,946,233,0,0,0,0,0,0,0,0,0,0,0,0,3780,797,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7494,1540,1525,150,116,233,90,155,349,915,856,349,282,127,749,0,0,0,0,0,0,1178,1055,2,1
45,9962,990,248,240,925,281,415,204,815,0,0,0,0,0,0,0,0,0,0,0,0,5280,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9872,180,111,240,260,815,500,527,313,0,0,0,0,0,0,0,0,0,0,0,0,6000,7497,1,1
46,561,315,3,165,432,128,1275,1031,413,0,0,0,0,0,0,0,0,0,0,0,0,3960,985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10223,1374,685,90,728,413,855,458,700,0,0,0,0,0,0,0,0,0,0,0,0,3780,1475,1,1
47,828,180,90,150,194,485,140,105,128,0,0,0,0,0,0,0,0,0,0,0,0,4200,588,1,2817,7,32,180,95,166,220,146,128,0,0,0,0,0,0,0,0,0,0,0,0,4140,3803,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6924,364,175,150,300,128,635,612,413,0,0,0,0,0,0,0,0,0,0,0,0,4230,297,1,2
