surgery,age,rectal_temperature,pulse,respiratory_rate,temperature_of_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,surgical_lesion,site_of_lesion,type_of_lesion,subtype_of_lesion,code_of_lesion,outcome
2,1,38.5,66,28,3,3,-100000,2,5,4,4,-100000,-100000,-100000,3,5,45.0,8.4,-100000,-100000,2,11,3,0,0,2
1,1,39.2,88,20,-100000,-100000,4,1,3,4,2,-100000,-100000,-100000,4,2,50.0,85.0,2,2.0,2,2,2,0,8,3
2,1,38.3,40,24,1,1,3,1,3,3,1,-100000,-100000,-100000,1,1,33.0,6.7,-100000,-100000,2,0,0,0,0,1
1,2,39.1,164,84,4,1,6,2,2,4,4,1,2,5.0,3,-100000,48.0,7.2,3,5.3,1,2,2,0,8,2
2,1,37.3,104,35,-100000,-100000,6,2,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,74.0,7.4,-100000,-100000,2,4,3,0,0,2
2,1,-100000,-100000,-100000,2,1,3,1,2,3,2,2,1,-100000,3,3,-100000,-100000,-100000,-100000,2,0,0,0,0,1
1,1,37.9,48,16,1,1,1,1,3,3,3,1,1,-100000,3,5,37.0,7.0,-100000,-100000,1,3,1,2,4,1
1,1,-100000,60,-100000,3,-100000,-100000,1,-100000,4,2,2,1,-100000,3,4,44.0,8.3,-100000,-100000,1,2,2,0,8,2
2,1,-100000,80,36,3,4,3,1,4,4,4,2,1,-100000,3,5,38.0,6.2,-100000,-100000,1,3,2,0,5,3
2,2,38.3,90,-100000,1,-100000,1,1,5,3,1,2,1,-100000,3,-100000,40.0,6.2,1,2.2,2,0,0,0,0,1
1,1,38.1,66,12,3,3,5,1,3,3,1,2,1,3.0,2,5,44.0,6.0,2,3.6,1,2,1,2,4,1
2,1,39.1,72,52,2,-100000,2,1,2,1,2,1,1,-100000,4,4,50.0,7.8,-100000,-100000,1,2,1,1,1,1
1,1,37.2,42,12,2,1,1,1,3,3,3,3,1,-100000,4,5,-100000,7.0,-100000,-100000,2,4,1,2,4,1
2,2,38.0,92,28,1,1,2,1,1,3,2,3,-100000,7.2,1,1,37.0,6.1,1,-100000,2,0,0,0,0,2
1,1,38.2,76,28,3,1,1,1,3,4,1,2,2,-100000,4,4,46.0,81.0,1,2.0,1,2,1,1,2,1
1,1,37.6,96,48,3,1,4,1,5,3,3,2,3,4.5,4,-100000,45.0,6.8,-100000,-100000,1,3,2,0,7,2
1,2,-100000,128,36,3,3,4,2,4,4,3,3,-100000,-100000,4,5,53.0,7.8,3,4.7,2,1,4,0,0,2
2,1,37.5,48,24,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,2,0,0,0,0,1
1,1,37.6,64,21,1,1,2,1,2,3,1,1,1,-100000,2,5,40.0,7.0,1,-100000,1,4,2,0,5,1
2,1,39.4,110,35,4,3,6,-100000,-100000,3,3,-100000,-100000,-100000,-100000,-100000,55.0,8.7,-100000,-100000,2,0,0,0,0,1
1,1,39.9,72,60,1,1,5,2,5,4,4,3,1,-100000,4,4,46.0,6.1,2,-100000,1,2,1,1,1,1
2,1,38.4,48,16,1,-100000,1,1,1,3,1,2,3,5.5,4,3,49.0,6.8,-100000,-100000,2,0,0,0,0,1
1,1,38.6,42,34,2,1,4,-100000,2,3,1,-100000,-100000,-100000,1,-100000,48.0,7.2,-100000,-100000,1,3,1,1,1,1
1,2,38.3,130,60,-100000,3,-100000,1,2,4,-100000,-100000,-100000,-100000,-100000,-100000,50.0,70.0,-100000,-100000,1,3,1,1,1,1
1,1,38.1,60,12,3,3,3,1,-100000,4,3,3,2,2.0,-100000,-100000,51.0,65.0,-100000,-100000,1,3,1,1,1,1
2,1,37.8,60,42,-100000,-100000,-100000,1,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,2,0,0,0,0,1
1,1,38.3,72,30,4,3,3,2,3,3,3,2,1,-100000,3,5,43.0,7.0,2,3.9,1,3,1,1,1,1
1,1,37.8,48,12,3,1,1,1,-100000,3,2,1,1,-100000,1,3,37.0,5.5,2,1.3,2,4,1,2,2,1
1,1,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,2,4,3,0,0,2
2,1,37.7,48,-100000,2,1,1,1,1,1,1,1,1,-100000,-100000,-100000,45.0,76.0,-100000,-100000,2,0,0,0,0,1
2,1,37.7,96,30,3,3,4,2,5,4,4,3,2,4.0,4,5,66.0,7.5,-100000,-100000,1,4,2,0,5,2
2,1,37.2,108,12,3,3,4,2,2,4,2,-100000,3,6.0,3,3,52.0,8.2,3,7.4,1,2,2,0,7,3
1,1,37.2,60,-100000,2,1,1,1,3,3,3,2,1,-100000,4,5,43.0,6.6,-100000,-100000,1,2,2,0,9,1
1,1,38.2,64,28,1,1,1,1,3,1,-100000,-100000,-100000,-100000,4,4,49.0,8.6,2,6.6,1,2,2,0,8,1
1,1,-100000,100,30,3,3,4,2,5,4,4,3,3,-100000,4,4,52.0,6.6,-100000,-100000,1,1,1,2,4,1
2,1,-100000,104,24,4,3,3,2,4,4,3,-100000,3,-100000,-100000,2,73.0,8.4,-100000,-100000,1,7,1,1,1,3
2,1,38.3,112,16,-100000,3,5,2,-100000,-100000,1,1,2,-100000,-100000,5,51.0,6.0,2,1.0,2,5,2,0,5,3
1,1,37.8,72,-100000,-100000,3,-100000,1,5,3,1,-100000,1,-100000,1,1,56.0,80.0,1,2.0,1,3,1,1,1,1
2,1,38.6,52,-100000,1,1,1,1,3,3,2,1,1,-100000,1,3,32.0,6.6,1,5.0,2,0,0,0,0,1
1,2,39.2,146,96,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,1,2,1,1,3,2
1,1,-100000,88,-100000,3,3,6,2,5,3,3,1,3,-100000,4,5,63.0,6.5,3,-100000,1,4,2,0,5,2
2,2,39.0,150,72,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,47.0,8.5,-100000,0.1,1,9,4,0,0,1
2,1,38.0,60,12,3,1,3,1,3,3,1,1,1,-100000,2,2,47.0,7.0,-100000,-100000,2,3,1,1,1,1
1,1,-100000,120,-100000,3,4,4,1,4,4,4,1,1,-100000,-100000,5,52.0,67.0,2,2.0,1,3,2,0,5,3
1,1,35.4,140,24,3,3,4,2,4,4,-100000,2,1,-100000,-100000,5,57.0,69.0,3,2.0,1,3,2,0,5,3
2,1,-100000,120,-100000,4,3,4,2,5,4,4,1,1,-100000,4,5,60.0,6.5,3,-100000,1,3,2,0,5,2
1,1,37.9,60,15,3,-100000,4,2,5,4,4,2,2,-100000,4,5,65.0,7.5,-100000,-100000,1,2,3,0,5,1
2,1,37.5,48,16,1,1,1,1,1,1,1,1,1,-100000,1,-100000,37.0,6.5,-100000,-100000,2,0,0,0,0,1
1,1,38.9,80,44,3,3,3,2,2,3,3,2,2,7.0,3,1,54.0,6.5,3,-100000,1,7,1,1,1,2
2,1,37.2,84,48,3,3,5,2,4,1,2,1,2,-100000,2,1,73.0,5.5,2,4.1,2,4,3,0,0,2
2,1,38.6,46,-100000,1,1,2,1,1,3,2,1,1,-100000,-100000,2,49.0,9.1,1,1.6,2,3,1,1,1,1
1,1,37.4,84,36,1,-100000,3,2,3,3,2,-100000,-100000,-100000,4,5,-100000,-100000,3,-100000,1,7,2,0,9,2
2,1,-100000,-100000,-100000,1,1,3,1,1,3,1,-100000,-100000,-100000,2,2,43.0,7.7,-100000,-100000,2,3,1,1,1,1
2,1,38.6,40,20,-100000,-100000,-100000,1,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,41.0,6.4,-100000,-100000,2,3,1,1,1,1
2,1,40.3,114,36,3,3,1,2,2,3,3,2,1,7.0,1,5,57.0,8.1,3,4.5,1,7,4,0,0,3
1,2,38.6,160,20,3,-100000,5,1,3,3,4,3,-100000,-100000,4,-100000,38.0,-100000,2,-100000,1,7,1,1,1,2
1,1,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,24.0,6.7,-100000,-100000,1,3,1,1,2,1
1,1,-100000,64,36,2,-100000,2,1,5,3,3,2,2,-100000,-100000,-100000,42.0,7.7,-100000,-100000,1,3,2,0,9,2
1,1,-100000,-100000,20,4,3,3,-100000,5,4,3,2,-100000,-100000,4,4,53.0,5.9,3,-100000,1,3,2,0,5,2
2,1,-100000,96,-100000,3,3,3,2,5,4,4,1,2,-100000,4,5,60.0,-100000,-100000,-100000,1,4,2,0,5,2
2,1,37.8,48,32,1,1,3,1,2,1,-100000,1,1,-100000,4,5,37.0,6.7,-100000,-100000,2,2,1,2,4,1
2,1,38.5,60,-100000,2,2,1,1,1,2,2,2,1,-100000,1,1,44.0,7.7,-100000,-100000,2,0,0,0,0,1
1,1,37.8,88,22,2,1,2,1,3,-100000,-100000,2,-100000,-100000,4,-100000,64.0,8.0,1,6.0,1,3,2,0,5,2
2,1,38.2,130,16,4,3,4,2,2,4,4,1,1,-100000,-100000,-100000,65.0,82.0,2,2.0,2,2,2,0,9,3
1,1,39.0,64,36,3,1,4,2,3,3,2,1,2,7.0,4,5,44.0,7.5,3,5.0,1,2,1,1,3,1
1,1,-100000,60,36,3,1,3,1,3,3,2,1,1,-100000,3,4,26.0,72.0,2,1.0,1,2,2,0,8,1
2,1,37.9,72,-100000,1,1,5,2,3,3,1,1,3,2.0,3,4,58.0,74.0,1,2.0,1,2,3,2,2,1
2,1,38.4,54,24,1,1,1,1,1,3,1,2,1,-100000,3,2,49.0,7.2,1,-100000,2,3,1,1,1,1
2,1,-100000,52,16,1,-100000,3,1,-100000,-100000,-100000,2,3,5.5,-100000,-100000,55.0,7.2,-100000,-100000,2,2,1,2,4,1
2,1,38.0,48,12,1,1,1,1,1,3,-100000,1,1,-100000,3,2,42.0,6.3,2,4.1,2,3,1,1,1,1
2,1,37.0,60,20,3,-100000,-100000,1,3,-100000,3,2,2,4.5,4,4,43.0,7.6,-100000,-100000,1,2,2,0,9,3
1,1,37.8,48,28,1,1,1,1,1,2,1,2,-100000,-100000,1,1,46.0,5.9,2,7.0,2,0,0,0,0,1
1,1,37.7,56,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,1,2,1,1,3,2
1,1,38.1,52,24,1,1,5,1,4,3,1,2,3,7.0,1,-100000,54.0,7.5,2,2.6,1,2,1,1,2,2
1,2,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,37.0,4.9,-100000,-100000,1,11,1,2,4,2
1,2,39.7,100,-100000,3,3,5,2,2,3,-100000,-100000,-100000,-100000,-100000,-100000,48.0,57.0,2,2.0,1,1,4,0,0,3
1,1,37.6,38,20,3,3,1,1,3,3,2,-100000,-100000,-100000,3,-100000,37.0,68.0,-100000,-100000,1,3,2,0,5,1
2,1,38.7,52,20,2,-100000,1,1,1,1,1,1,1,-100000,1,1,33.0,77.0,-100000,-100000,2,0,0,0,0,1
1,1,-100000,-100000,-100000,3,3,3,-100000,5,3,3,3,2,-100000,4,5,46.0,5.9,-100000,-100000,1,3,0,2,5,2
1,1,37.5,96,18,1,3,6,2,3,4,2,2,3,5.0,-100000,4,69.0,8.9,3,-100000,1,2,2,0,8,1
1,1,36.4,98,35,3,3,4,1,4,3,2,-100000,-100000,-100000,4,4,47.0,6.4,3,3.6,1,2,2,0,5,2
1,1,37.3,40,-100000,-100000,3,1,1,2,3,2,3,1,-100000,3,5,36.0,-100000,3,2.0,1,3,1,1,1,1
1,2,38.1,100,80,3,1,2,1,3,4,1,-100000,-100000,-100000,1,-100000,36.0,5.7,-100000,-100000,1,3,1,1,1,1
1,1,38.0,-100000,24,3,3,6,2,5,-100000,4,1,1,-100000,-100000,-100000,68.0,7.8,-100000,-100000,1,3,2,0,5,2
1,1,37.8,60,80,1,3,2,2,2,3,3,-100000,2,5.5,4,-100000,40.0,4.5,2,-100000,1,5,2,0,6,1
2,1,38.0,54,30,2,3,3,-100000,3,1,2,2,2,-100000,-100000,4,45.0,6.2,-100000,-100000,2,0,4,0,0,1
1,1,-100000,88,40,3,3,4,2,5,4,3,3,-100000,-100000,4,5,50.0,7.7,3,1.4,1,4,2,0,5,2
2,1,-100000,40,16,-100000,-100000,-100000,1,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,50.0,7.0,2,3.9,1,2,2,0,8,3
2,1,39.0,64,40,1,1,5,1,3,3,2,2,1,-100000,3,3,42.0,7.5,2,2.3,2,5,0,0,0,1
2,1,38.3,42,10,1,1,1,1,1,1,1,-100000,-100000,-100000,-100000,-100000,38.0,61.0,-100000,-100000,2,0,0,0,0,1
2,1,38.0,52,16,-100000,-100000,-100000,-100000,2,-100000,-100000,-100000,3,1.0,1,1,53.0,86.0,-100000,-100000,1,2,3,2,2,1
2,1,40.3,114,36,3,3,1,2,2,3,3,2,1,7.0,1,5,57.0,8.1,3,4.5,1,3,2,0,5,2
2,1,38.8,50,20,3,1,1,1,1,1,1,2,1,-100000,3,1,42.0,6.2,-100000,-100000,2,0,0,0,0,1
2,1,-100000,-100000,-100000,3,3,1,1,5,3,3,1,1,-100000,4,5,38.0,6.5,-100000,-100000,1,3,2,0,5,2
2,1,37.5,48,30,4,1,3,1,-100000,2,1,1,1,-100000,1,1,48.0,8.6,-100000,-100000,2,0,0,0,0,1
1,1,37.3,48,20,-100000,1,2,1,3,3,3,2,1,-100000,3,5,41.0,69.0,-100000,-100000,1,3,2,0,5,1
2,1,-100000,84,36,-100000,-100000,3,1,-100000,3,1,2,1,-100000,3,2,44.0,8.5,-100000,-100000,1,3,1,1,1,1
1,1,38.1,88,32,3,3,4,1,2,3,3,-100000,3,1.0,4,5,55.0,60.0,-100000,-100000,2,3,2,0,5,3
2,1,37.7,44,40,2,1,3,1,1,3,2,1,1,-100000,1,5,41.0,60.0,-100000,-100000,2,0,0,0,0,1
2,1,39.6,108,51,3,3,6,2,2,4,3,1,2,-100000,3,5,59.0,8.0,2,2.6,2,4,3,0,0,1
1,1,38.2,40,16,3,3,1,1,1,3,-100000,-100000,-100000,-100000,1,1,34.0,66.0,-100000,-100000,2,0,0,0,0,1
1,1,-100000,60,20,4,3,4,2,5,4,-100000,-100000,1,-100000,4,5,-100000,-100000,-100000,-100000,1,3,2,0,5,3
2,1,38.3,40,16,3,-100000,1,1,2,-100000,-100000,-100000,-100000,-100000,-100000,-100000,37.0,57.0,-100000,-100000,2,0,0,0,0,1
1,2,38.0,140,68,1,1,1,1,3,3,2,-100000,-100000,-100000,2,1,39.0,5.3,-100000,-100000,1,7,1,1,1,1
1,1,37.8,52,24,1,3,3,1,4,4,1,2,3,5.7,2,5,48.0,6.6,1,3.7,1,5,4,0,0,2
1,1,-100000,70,36,1,-100000,3,2,2,3,2,2,-100000,-100000,4,5,36.0,7.3,-100000,-100000,1,3,1,1,10,1
1,1,38.3,52,96,-100000,3,3,1,-100000,-100000,-100000,1,1,-100000,1,-100000,43.0,6.1,-100000,-100000,1,3,2,0,9,1
2,1,37.3,50,32,1,1,3,1,1,3,2,-100000,-100000,-100000,1,-100000,44.0,7.0,-100000,-100000,2,0,0,0,0,1
1,1,38.7,60,32,4,3,2,2,4,4,4,-100000,-100000,-100000,4,5,53.0,64.0,3,2.0,1,3,2,0,5,3
1,2,38.4,84,40,3,3,2,1,3,3,3,1,1,-100000,-100000,-100000,36.0,6.6,2,2.8,1,2,2,0,5,2
1,1,-100000,70,16,3,4,5,2,2,3,2,2,1,-100000,4,5,60.0,7.5,-100000,-100000,1,2,1,1,2,2
1,1,38.3,40,16,3,-100000,-100000,1,1,3,2,-100000,-100000,-100000,-100000,-100000,38.0,58.0,1,2.0,1,3,1,1,1,1
1,1,-100000,40,-100000,2,1,1,1,1,3,1,1,1,-100000,-100000,5,39.0,56.0,-100000,-100000,1,3,1,1,1,1
1,1,36.8,60,28,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,10.0,1,3,2,0,5,2
1,1,38.4,44,24,3,-100000,4,-100000,5,4,3,2,1,-100000,4,5,50.0,77.0,-100000,-100000,1,3,2,0,5,1
2,1,-100000,-100000,40,3,1,1,1,3,3,2,-100000,-100000,-100000,-100000,-100000,45.0,70.0,-100000,-100000,2,0,0,0,0,1
1,1,38.0,44,12,1,1,1,1,3,3,3,2,1,-100000,4,5,42.0,65.0,-100000,-100000,1,3,2,0,5,1
2,1,39.5,-100000,-100000,3,3,4,2,3,4,3,-100000,3,5.5,4,5,-100000,6.7,1,-100000,1,4,2,0,5,3
1,1,36.5,78,30,1,-100000,1,1,5,3,1,-100000,1,-100000,-100000,-100000,34.0,75.0,2,1.0,1,3,1,1,2,1
2,1,38.1,56,20,2,1,2,1,1,3,1,1,1,-100000,-100000,-100000,46.0,70.0,-100000,-100000,2,0,0,0,0,1
1,1,39.4,54,66,1,1,2,1,2,3,2,1,1,-100000,3,4,39.0,6.0,2,-100000,1,2,2,0,6,1
1,1,38.3,80,40,-100000,-100000,6,2,4,3,1,-100000,2,-100000,1,4,67.0,10.2,2,1.0,1,2,2,0,8,3
2,1,38.7,40,28,2,1,1,1,3,1,1,-100000,-100000,-100000,1,-100000,39.0,62.0,1,1.0,2,0,0,0,0,1
1,1,38.2,64,24,1,1,3,1,4,4,3,2,1,-100000,4,4,45.0,7.5,1,2.0,1,3,2,0,5,2
2,1,37.6,48,20,3,1,4,1,1,1,3,2,1,-100000,1,1,37.0,5.5,-100000,-100000,1,2,2,0,5,3
1,1,38.0,42,68,4,1,1,1,3,3,2,2,2,-100000,4,4,41.0,7.6,-100000,-100000,1,2,2,0,5,1
1,1,38.7,-100000,-100000,3,1,3,1,5,4,2,-100000,-100000,-100000,-100000,-100000,33.0,6.5,2,-100000,1,3,1,1,10,1
1,1,37.4,50,32,3,3,-100000,1,4,4,1,2,1,-100000,1,-100000,45.0,7.9,2,1.0,1,2,2,0,8,1
1,1,37.4,84,20,-100000,-100000,3,1,2,3,3,-100000,-100000,-100000,-100000,-100000,31.0,61.0,-100000,1.0,2,2,2,0,8,3
1,1,38.4,49,-100000,-100000,-100000,1,1,-100000,-100000,1,2,1,-100000,-100000,-100000,44.0,7.6,-100000,-100000,1,2,2,0,6,1
1,1,37.8,30,12,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,1,2,1,1,3,2
2,1,37.6,88,36,3,1,1,1,3,3,2,1,3,1.5,-100000,-100000,44.0,6.0,-100000,-100000,1,1,4,0,0,2
-100000,1,38.0,48,20,3,1,3,1,4,3,1,2,1,-100000,3,5,43.0,73.0,2,1.0,1,3,1,1,1,-100000
2,1,37.9,40,24,1,1,1,1,2,3,1,-100000,-100000,-100000,-100000,3,40.0,5.7,-100000,-100000,1,0,4,0,0,1
1,1,-100000,100,-100000,3,-100000,4,2,5,4,-100000,2,-100000,-100000,2,-100000,59.0,6.3,-100000,-100000,1,4,2,0,5,2
1,2,38.1,136,48,3,3,3,1,5,1,3,2,2,4.4,2,-100000,33.0,4.9,2,2.9,1,2,2,0,5,2
1,1,-100000,-100000,-100000,3,3,3,2,5,3,3,3,2,-100000,4,5,46.0,5.9,-100000,-100000,1,3,0,2,5,2
1,1,38.0,48,-100000,1,1,1,1,1,2,4,2,2,-100000,4,5,-100000,-100000,-100000,-100000,1,3,1,1,1,1
2,1,38.0,56,-100000,1,2,3,1,1,1,1,1,1,-100000,1,1,42.0,71.0,-100000,-100000,2,0,0,0,0,1
2,1,38.0,60,32,1,1,-100000,1,3,3,-100000,1,1,-100000,-100000,-100000,50.0,7.0,1,1.0,2,0,0,0,0,1
1,1,38.1,44,9,3,1,1,1,2,2,1,1,1,-100000,4,5,31.0,7.3,-100000,-100000,2,5,1,2,4,1
2,1,36.0,42,30,-100000,-100000,5,1,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,64.0,6.8,-100000,-100000,2,1,4,0,0,2
1,1,-100000,120,-100000,4,3,6,2,5,4,4,-100000,-100000,-100000,4,5,57.0,4.5,3,3.9,1,3,2,0,5,2
1,1,37.8,48,28,1,1,1,2,1,2,1,2,-100000,-100000,1,1,46.0,5.9,2,7.0,2,0,0,0,0,1
1,1,37.1,84,40,3,3,6,1,2,4,4,3,2,2.0,4,5,75.0,81.0,-100000,-100000,2,1,4,0,0,3
2,1,-100000,80,32,3,3,2,1,2,3,3,2,1,-100000,3,-100000,50.0,80.0,-100000,-100000,1,0,0,0,0,1
1,1,38.2,48,-100000,1,3,3,1,3,4,4,1,3,2.0,4,5,42.0,71.0,-100000,-100000,1,3,1,1,1,1
2,1,38.0,44,12,2,1,3,1,3,4,3,1,2,6.5,1,4,33.0,6.5,-100000,-100000,1,2,2,0,9,2
1,1,38.3,132,-100000,-100000,3,6,2,2,4,2,2,3,6.2,4,4,57.0,8.0,-100000,5.2,1,2,1,1,2,1
2,1,38.7,48,24,-100000,-100000,-100000,-100000,1,1,-100000,1,1,-100000,1,-100000,34.0,63.0,-100000,-100000,2,0,0,0,0,1
2,1,38.9,44,14,3,1,1,1,2,3,2,-100000,-100000,-100000,-100000,2,33.0,64.0,-100000,-100000,2,0,0,0,0,1
1,1,39.3,-100000,-100000,4,3,6,2,4,4,2,1,3,4.0,4,4,75.0,-100000,3,4.3,1,2,2,0,7,2
1,1,-100000,100,-100000,3,3,4,2,-100000,4,4,2,1,2.0,-100000,-100000,68.0,64.0,3,2.0,1,2,2,0,9,1
2,1,38.6,48,20,3,1,1,1,1,3,2,2,1,-100000,3,2,50.0,7.3,1,-100000,2,3,1,1,1,1
2,1,38.8,48,40,1,1,3,1,3,3,4,2,-100000,-100000,-100000,5,41.0,65.0,-100000,-100000,1,4,1,2,4,1
2,1,38.0,48,20,3,3,4,1,1,4,2,2,-100000,5.0,-100000,2,49.0,8.3,1,-100000,2,0,4,0,0,1
2,1,38.6,52,20,1,1,1,1,3,3,2,1,1,-100000,1,3,36.0,6.6,1,5.0,2,0,0,0,0,1
1,1,37.8,60,24,1,-100000,3,2,-100000,4,4,2,3,2.0,-100000,5,52.0,75.0,-100000,-100000,1,2,2,0,5,3
2,1,38.0,42,40,3,1,1,1,3,3,1,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,2,3,1,1,1,1
2,1,-100000,-100000,12,1,1,2,1,2,1,2,3,1,-100000,1,3,44.0,7.5,2,-100000,2,0,0,0,0,1
1,1,-100000,-100000,-100000,-100000,-100000,-100000,-100000,4,-100000,-100000,1,1,-100000,-100000,5,35.0,58.0,2,1.0,1,4,2,0,5,1
1,1,38.3,42,24,-100000,-100000,-100000,1,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,40.0,8.5,-100000,-100000,1,7,1,1,3,2
2,1,39.5,60,10,3,-100000,-100000,2,3,3,2,2,1,-100000,3,-100000,38.0,56.0,1,-100000,2,0,0,0,0,1
1,1,38.0,66,20,1,3,3,1,5,3,1,1,1,-100000,3,-100000,46.0,46.0,3,2.0,1,6,2,0,9,3
1,1,38.7,76,-100000,1,1,5,2,3,3,2,2,2,-100000,4,4,50.0,8.0,-100000,-100000,1,2,2,0,8,1
1,1,39.4,120,48,-100000,-100000,5,1,-100000,3,3,1,-100000,-100000,4,-100000,56.0,64.0,1,2.0,2,1,4,0,0,3
1,1,38.3,40,18,1,1,1,1,3,1,1,-100000,-100000,-100000,2,1,43.0,5.9,1,-100000,2,0,0,0,0,1
2,1,-100000,44,24,1,1,1,1,3,3,1,2,1,-100000,-100000,1,-100000,6.3,-100000,-100000,2,3,1,1,1,1
1,1,38.4,104,40,1,1,3,1,2,4,2,2,3,6.5,-100000,4,55.0,8.5,-100000,-100000,1,2,1,2,4,1
1,1,-100000,65,24,-100000,-100000,-100000,2,5,-100000,4,3,1,-100000,-100000,5,-100000,-100000,-100000,-100000,1,3,2,0,5,3
2,1,37.5,44,20,1,1,3,1,-100000,1,1,-100000,-100000,-100000,1,-100000,35.0,7.2,-100000,-100000,2,0,0,0,0,1
2,1,39.0,86,16,3,3,5,-100000,3,3,3,-100000,2,-100000,-100000,-100000,68.0,5.8,3,6.0,1,5,4,0,0,2
1,1,38.5,129,48,3,3,3,1,2,4,3,1,3,2.0,-100000,-100000,57.0,66.0,3,2.0,1,2,2,0,6,1
1,1,-100000,104,-100000,3,3,5,2,2,4,3,-100000,3,-100000,4,4,69.0,8.6,2,3.4,1,2,2,0,7,2
2,1,-100000,-100000,-100000,3,4,6,-100000,4,-100000,4,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,1,3,4,0,0,2
1,1,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,1,2,2,0,8,1
1,1,38.2,60,30,1,1,3,1,3,3,1,2,1,-100000,3,2,48.0,66.0,-100000,-100000,1,6,1,1,2,1
1,1,-100000,68,14,-100000,-100000,4,1,4,-100000,-100000,-100000,1,4.3,-100000,-100000,-100000,-100000,2,2.8,1,4,2,0,5,2
1,1,-100000,60,30,3,3,4,2,5,4,4,1,1,-100000,4,-100000,45.0,70.0,3,2.0,1,6,1,1,1,1
2,1,38.5,100,-100000,3,3,5,2,4,3,4,2,1,-100000,4,5,-100000,-100000,-100000,-100000,2,1,1,1,1,3
