surgery,age,rectal_temperature,pulse,respiratory_rate,temperature_of_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,surgical_lesion,site_of_lesion,type_of_lesion,subtype_of_lesion,code_of_lesion,outcome
1,1,38.4,84,30,3,1,5,2,4,3,3,2,3,6.5,4,4,47.0,7.5,3,-100000,1,2,3,0,0,2
2,1,37.8,48,14,-100000,-100000,1,1,3,-100000,2,1,3,5.3,1,-100000,35.0,7.5,-100000,-100000,2,3,1,1,1,1
1,1,38.0,-100000,24,3,3,6,2,5,-100000,4,1,1,-100000,-100000,-100000,68.0,7.8,-100000,-100000,1,2,2,0,5,2
2,1,37.8,56,16,1,1,2,1,2,1,1,2,1,-100000,1,-100000,44.0,68.0,1,1.0,2,0,0,0,0,1
2,1,38.2,68,32,2,2,2,1,1,1,1,3,1,-100000,1,1,43.0,65.0,-100000,-100000,2,0,0,0,0,1
1,1,38.5,120,60,4,3,6,2,-100000,3,-100000,-100000,-100000,-100000,-100000,-100000,54.0,-100000,-100000,-100000,1,5,4,0,0,1
1,1,39.3,64,90,2,3,1,1,-100000,3,1,1,2,-100000,-100000,-100000,39.0,6.7,-100000,-100000,1,2,1,1,10,1
1,1,38.4,80,30,4,3,1,1,3,3,3,3,3,-100000,4,5,32.0,6.1,3,4.3,1,7,2,0,9,1
1,1,38.5,60,-100000,1,1,-100000,1,-100000,1,1,-100000,-100000,-100000,-100000,-100000,33.0,53.0,1,-100000,1,4,1,1,1,1
1,1,38.3,60,16,3,1,1,1,2,1,1,2,2,3.0,1,4,30.0,6.0,1,3.0,1,3,1,1,10,1
1,1,37.1,40,8,-100000,1,4,1,3,3,1,1,1,-100000,3,3,23.0,6.7,3,-100000,1,3,1,3,3,1
2,2,-100000,100,44,2,1,1,1,4,1,1,-100000,-100000,-100000,1,-100000,37.0,4.7,-100000,-100000,2,7,1,1,1,1
1,1,38.2,48,18,1,1,1,1,3,3,3,1,2,-100000,4,-100000,48.0,74.0,1,2.0,1,5,1,1,1,1
1,1,-100000,60,48,3,3,4,2,4,3,4,-100000,-100000,-100000,-100000,-100000,58.0,7.6,-100000,-100000,1,3,2,0,5,2
2,1,37.9,88,24,1,1,2,1,2,2,1,-100000,-100000,-100000,4,1,37.0,56.0,-100000,-100000,2,0,0,0,0,1
2,1,38.0,44,12,3,1,1,-100000,-100000,1,2,-100000,-100000,-100000,1,-100000,42.0,64.0,-100000,-100000,2,0,0,0,0,1
2,1,38.5,60,20,1,1,5,2,2,2,1,2,1,-100000,2,3,63.0,7.5,2,2.3,2,0,3,0,0,3
2,1,38.5,96,36,3,3,-100000,2,2,4,2,1,2,-100000,4,5,70.0,8.5,-100000,-100000,1,1,4,0,0,2
2,1,38.3,60,20,1,1,1,2,1,3,1,-100000,-100000,-100000,3,-100000,34.0,66.0,-100000,-100000,2,0,0,0,0,1
2,1,38.5,60,40,3,1,2,1,2,1,2,-100000,-100000,-100000,3,2,49.0,59.0,-100000,-100000,2,0,0,0,0,1
1,1,37.3,48,12,1,-100000,3,1,3,1,3,2,1,-100000,3,3,40.0,6.6,2,-100000,1,3,2,0,5,1
1,1,38.5,86,-100000,1,1,3,1,4,4,3,2,1,-100000,3,5,45.0,7.4,1,3.4,1,3,2,0,9,2
1,1,37.5,48,40,-100000,-100000,-100000,-100000,-100000,-100000,-100000,1,1,-100000,-100000,5,41.0,55.0,3,2.0,1,2,2,0,8,3
2,1,37.2,36,9,1,1,1,1,2,3,1,2,1,-100000,4,1,35.0,5.7,-100000,-100000,2,3,1,1,10,1
1,1,39.2,-100000,23,3,1,3,1,4,4,2,2,-100000,-100000,-100000,-100000,36.0,6.6,1,3.0,1,3,1,1,5,1
2,1,38.5,100,-100000,3,3,5,2,4,3,4,2,1,-100000,4,5,-100000,-100000,-100000,-100000,2,4,1,2,4,3
1,1,38.5,96,30,2,3,4,2,4,4,3,2,1,-100000,3,5,50.0,65.0,-100000,-100000,1,6,1,1,1,1
1,1,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,45.0,8.7,-100000,-100000,1,2,2,0,8,2
1,1,37.8,88,80,3,3,5,2,-100000,3,3,2,3,-100000,4,5,64.0,89.0,-100000,-100000,1,3,2,0,5,3
2,1,37.5,44,10,3,1,1,1,3,1,2,2,-100000,-100000,3,3,43.0,51.0,1,1.0,2,0,0,0,0,1
1,1,37.9,68,20,-100000,1,2,1,2,4,2,-100000,-100000,-100000,1,5,45.0,4.0,3,2.8,1,5,4,0,0,2
1,1,38.0,86,24,4,3,4,1,2,4,4,1,1,-100000,4,5,45.0,5.5,1,10.1,1,3,1,1,1,2
1,2,38.9,120,30,1,3,2,2,3,3,3,3,1,3.0,-100000,-100000,47.0,6.3,1,-100000,2,2,1,2,4,1
1,1,37.6,45,12,3,1,3,1,-100000,2,2,2,1,-100000,1,4,39.0,7.0,2,1.5,1,2,1,1,2,1
2,1,38.6,56,32,2,1,1,1,1,1,1,2,-100000,-100000,2,-100000,40.0,7.0,2,2.1,2,0,0,0,0,1
1,1,37.8,40,12,1,1,1,1,1,2,1,2,1,-100000,1,2,38.0,7.0,-100000,-100000,1,3,1,1,1,1
2,1,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,2,0,0,0,0,1
1,1,38.0,76,18,-100000,-100000,-100000,2,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,71.0,11.0,-100000,-100000,1,2,2,0,9,1
1,1,38.1,40,36,1,2,2,1,2,2,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,1,3,1,1,2,3
1,1,-100000,52,28,3,3,4,1,3,4,3,2,1,-100000,4,4,37.0,8.1,-100000,-100000,1,2,1,1,1,1
1,1,39.2,88,58,4,4,-100000,2,5,4,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,2,2.0,2,3,2,0,5,3
1,1,38.5,92,40,4,3,-100000,1,2,4,3,-100000,-100000,-100000,4,-100000,46.0,67.0,2,2.0,1,2,2,0,8,1
1,1,-100000,112,13,4,4,4,1,2,3,1,2,1,4.5,4,4,60.0,6.3,3,-100000,1,2,2,0,5,1
1,1,37.7,66,12,1,1,3,1,3,3,2,2,-100000,-100000,4,4,31.5,6.2,2,1.6,1,2,2,0,8,1
1,1,38.8,50,14,1,1,1,1,3,1,1,1,1,-100000,3,5,38.0,58.0,-100000,-100000,1,3,1,1,1,1
2,1,38.4,54,24,1,1,1,1,1,3,1,2,1,-100000,3,2,49.0,7.2,1,8.0,2,3,1,1,1,1
1,1,39.2,120,20,4,3,5,2,2,3,3,1,3,-100000,-100000,4,60.0,8.8,3,-100000,1,2,2,0,5,2
1,2,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,45.0,6.5,2,-100000,1,9,0,0,0,1
1,1,37.3,90,40,3,-100000,6,2,5,4,3,2,2,-100000,1,5,65.0,50.0,3,2.0,1,3,2,0,5,3
1,2,38.5,120,70,-100000,-100000,-100000,-100000,-100000,1,-100000,2,-100000,-100000,1,-100000,35.0,54.0,1,1.0,1,4,2,0,5,1
1,1,38.5,104,40,3,3,-100000,1,4,3,4,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,1,2,1,2,4,1
2,1,39.5,92,28,3,3,6,1,5,4,1,-100000,3,-100000,4,-100000,72.0,6.4,-100000,3.6,2,3,3,0,0,2
1,1,38.5,30,18,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,40.0,7.7,-100000,-100000,1,2,1,1,3,1
1,1,38.3,72,30,4,3,3,2,3,3,3,2,1,-100000,3,5,43.0,7.0,2,3.9,1,3,1,1,3,1
2,1,37.5,48,30,4,1,3,1,-100000,2,1,1,1,-100000,1,1,48.0,8.6,-100000,-100000,2,0,4,0,0,1
1,1,38.1,52,24,1,1,5,1,4,3,1,2,3,7.0,1,-100000,54.0,7.5,2,2.6,1,2,2,0,6,2
2,1,38.2,42,26,1,1,1,1,3,1,2,-100000,-100000,-100000,1,-100000,36.0,6.9,-100000,-100000,2,3,1,1,1,1
2,1,37.9,54,42,2,1,5,1,3,1,1,-100000,1,-100000,-100000,2,47.0,54.0,3,1.0,2,0,0,0,0,1
2,1,36.1,88,-100000,3,3,3,1,3,3,2,2,3,-100000,-100000,4,45.0,7.0,3,4.8,1,2,2,0,9,3
1,1,38.1,70,22,-100000,1,-100000,1,5,3,-100000,-100000,-100000,-100000,-100000,5,36.0,65.0,-100000,-100000,1,3,2,0,5,3
1,1,38.0,90,30,4,3,4,2,5,4,4,-100000,-100000,-100000,4,5,55.0,6.1,-100000,-100000,1,3,2,0,5,2
1,1,38.2,52,16,1,1,2,1,1,2,1,1,1,-100000,1,-100000,43.0,8.1,-100000,-100000,2,0,0,0,0,1
1,1,-100000,36,32,1,1,4,1,5,3,3,2,3,4.0,-100000,4,41.0,5.9,-100000,-100000,1,2,2,0,5,2
1,1,38.4,92,20,1,-100000,-100000,2,-100000,3,3,-100000,-100000,-100000,1,-100000,-100000,-100000,-100000,-100000,1,2,2,0,8,1
1,2,38.2,124,88,1,3,2,1,2,3,4,-100000,-100000,-100000,-100000,-100000,47.0,8.0,1,-100000,1,9,4,0,0,1
2,1,-100000,96,-100000,3,3,3,2,5,4,4,-100000,1,-100000,4,5,60.0,-100000,-100000,-100000,1,4,1,1,10,2
1,1,37.6,68,32,3,-100000,3,1,4,2,4,2,2,6.5,1,5,47.0,7.2,1,-100000,1,3,2,0,9,1
1,1,38.1,88,24,3,3,4,1,5,4,3,2,1,-100000,3,4,41.0,4.6,-100000,-100000,1,2,2,0,9,2
1,1,38.0,108,60,2,3,4,1,4,3,3,2,-100000,-100000,3,4,-100000,-100000,3,-100000,1,2,2,0,5,1
2,1,38.2,48,-100000,2,-100000,1,2,3,3,1,2,1,-100000,-100000,2,34.0,6.6,-100000,-100000,2,3,1,1,1,1
1,1,39.3,100,51,4,4,6,1,2,4,1,1,3,2.0,-100000,4,66.0,13.0,3,2.0,1,2,1,1,3,3
2,1,36.6,42,18,3,3,2,1,1,4,1,1,1,-100000,-100000,5,52.0,7.1,-100000,-100000,1,5,1,1,1,2
1,2,38.8,124,36,3,1,2,1,2,3,4,1,1,-100000,4,4,50.0,7.6,3,-100000,1,2,2,0,8,2
2,1,-100000,112,24,3,3,4,2,5,4,2,-100000,-100000,-100000,4,-100000,40.0,5.3,3,2.6,2,0,4,0,0,1
1,1,-100000,80,-100000,3,3,3,1,4,4,4,-100000,-100000,-100000,4,5,43.0,70.0,-100000,-100000,1,3,1,1,1,1
1,2,38.8,184,84,1,-100000,1,1,4,1,3,-100000,-100000,-100000,2,-100000,33.0,3.3,-100000,-100000,1,7,1,1,1,2
1,1,37.5,72,-100000,2,1,1,1,2,1,1,1,1,-100000,1,-100000,35.0,65.0,2,2.0,1,7,2,0,9,3
1,1,38.7,96,28,3,3,4,1,-100000,4,-100000,-100000,3,7.5,-100000,-100000,64.0,9.0,-100000,-100000,1,2,2,0,5,2
2,1,37.5,52,12,1,1,1,1,2,3,2,2,1,-100000,3,5,36.0,61.0,1,1.0,2,0,0,0,0,1
1,1,40.8,72,42,3,3,1,1,2,3,1,2,1,-100000,-100000,-100000,54.0,7.4,3,-100000,1,11,4,0,0,2
2,1,38.0,40,25,-100000,1,1,1,4,3,2,1,1,-100000,4,-100000,37.0,69.0,-100000,-100000,2,0,0,0,0,1
2,1,38.4,48,16,2,1,1,1,1,-100000,2,2,1,-100000,-100000,2,39.0,6.5,-100000,-100000,2,3,1,1,1,1
2,2,38.6,88,28,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,35.0,5.9,-100000,-100000,2,0,0,0,0,1
1,1,37.1,75,36,-100000,-100000,3,2,4,4,2,2,3,5.0,4,4,48.0,7.4,3,3.2,1,-100000,-100000,-100000,-100000,2
1,1,38.3,44,21,3,1,2,1,3,3,3,2,1,-100000,1,5,44.0,6.5,2,4.4,1,2,2,0,9,1
2,1,-100000,56,68,3,1,1,1,3,3,1,2,1,-100000,1,-100000,40.0,6.0,-100000,-100000,1,5,2,0,6,3
2,1,38.6,68,20,2,1,3,1,3,3,2,1,1,-100000,1,5,38.0,6.5,1,-100000,2,5,1,2,4,1
2,1,38.3,54,18,3,1,2,1,2,3,2,-100000,3,5.4,-100000,4,44.0,7.2,3,-100000,2,2,1,2,4,1
1,1,38.2,42,20,-100000,-100000,1,1,-100000,3,-100000,-100000,-100000,-100000,3,-100000,47.0,60.0,-100000,-100000,2,0,0,0,0,1
1,1,39.3,64,90,2,3,1,1,-100000,3,1,1,2,6.5,1,5,39.0,6.7,-100000,-100000,1,3,1,1,10,1
1,1,37.5,60,50,3,3,1,1,3,3,2,2,2,3.5,3,4,35.0,6.5,-100000,-100000,1,2,2,0,9,2
1,1,37.7,80,-100000,3,3,6,1,5,4,1,2,3,-100000,3,1,50.0,55.0,3,2.0,1,4,2,0,6,1
1,1,-100000,100,30,3,3,4,2,5,4,4,3,3,-100000,4,4,52.0,6.6,-100000,-100000,1,2,1,2,4,1
1,1,37.7,120,28,3,3,3,1,5,3,3,1,1,-100000,-100000,-100000,65.0,7.0,3,-100000,1,4,2,0,5,2
1,1,-100000,76,-100000,-100000,3,-100000,-100000,-100000,4,4,-100000,-100000,-100000,-100000,5,-100000,-100000,-100000,-100000,1,11,1,2,4,3
1,2,38.8,150,50,1,3,6,2,5,3,2,1,1,-100000,-100000,-100000,50.0,6.2,-100000,-100000,1,4,2,0,7,2
1,1,38.0,36,16,3,1,1,1,4,2,2,3,3,2.0,3,-100000,37.0,75.0,2,1.0,2,3,1,1,1,3
2,1,36.9,50,40,2,3,3,1,1,3,2,3,1,7.0,-100000,-100000,37.5,6.5,-100000,-100000,2,3,1,1,1,1
2,1,37.8,40,16,1,1,1,1,1,1,1,-100000,-100000,-100000,1,1,37.0,6.8,-100000,-100000,2,0,0,0,0,1
2,1,38.2,56,40,4,3,1,1,2,4,3,2,2,7.5,-100000,-100000,47.0,7.2,1,2.5,2,8,3,0,0,1
1,1,38.6,48,12,-100000,-100000,1,-100000,1,1,-100000,-100000,-100000,-100000,-100000,-100000,36.0,67.0,-100000,-100000,2,0,0,0,0,1
2,1,40.0,78,-100000,3,3,5,1,2,3,1,1,1,-100000,4,1,66.0,6.5,-100000,-100000,1,8,4,0,0,2
1,1,-100000,70,16,3,4,5,2,2,3,2,2,1,-100000,4,5,60.0,7.5,-100000,-100000,1,1,4,0,0,2
1,1,38.2,72,18,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,35.0,6.4,-100000,-100000,1,3,1,2,4,1
2,1,38.5,54,-100000,1,1,1,1,3,1,1,2,1,-100000,1,-100000,40.0,6.8,2,7.0,2,0,0,0,0,1
1,1,38.5,66,24,1,1,1,1,3,3,1,2,1,-100000,4,5,40.0,6.7,1,-100000,1,3,1,1,10,1
2,1,37.8,82,12,3,1,1,2,4,-100000,3,1,3,-100000,-100000,-100000,50.0,7.0,-100000,-100000,1,2,2,0,5,3
2,2,39.5,84,30,-100000,-100000,-100000,1,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,28.0,5.0,-100000,-100000,2,0,0,0,0,1
1,1,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,1,2,1,2,4,1
1,1,38.0,50,36,-100000,1,1,1,3,2,2,-100000,-100000,-100000,3,-100000,39.0,6.6,1,5.3,1,8,4,0,0,1
2,1,38.6,45,16,2,1,2,1,1,1,-100000,-100000,-100000,-100000,1,1,43.0,58.0,-100000,-100000,2,0,0,0,0,1
1,1,38.9,80,44,3,3,3,1,2,3,3,2,2,7.0,3,1,54.0,6.5,3,-100000,1,7,1,1,1,2
1,1,37.0,66,20,1,3,2,1,4,3,3,1,-100000,-100000,1,5,35.0,6.9,2,-100000,1,3,1,1,10,2
1,1,-100000,78,24,3,3,3,1,-100000,3,-100000,2,1,-100000,-100000,4,43.0,62.0,-100000,2.0,2,2,2,0,9,3
2,1,38.5,40,16,1,1,1,1,2,1,1,-100000,-100000,-100000,3,2,37.0,67.0,-100000,-100000,2,0,0,0,0,1
1,1,-100000,120,70,4,-100000,4,2,2,4,-100000,-100000,-100000,-100000,-100000,5,55.0,65.0,-100000,-100000,2,3,2,0,5,3
2,1,37.2,72,24,3,2,4,2,4,3,3,3,1,-100000,4,4,44.0,-100000,3,3.3,1,2,2,0,8,3
1,1,37.5,72,30,4,3,4,1,4,4,3,2,1,-100000,3,5,60.0,6.8,-100000,-100000,1,3,2,0,5,2
1,1,36.5,100,24,3,3,3,1,3,3,3,3,1,-100000,4,4,50.0,6.0,3,3.4,1,2,2,0,8,1
1,1,37.2,40,20,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,4,1,36.0,62.0,1,1.0,2,6,1,1,2,3
2,1,38.5,54,20,-100000,1,2,2,3,4,1,2,2,5.9,-100000,2,42.0,6.3,-100000,-100000,2,3,1,1,1,1
2,1,37.6,48,36,-100000,-100000,1,1,-100000,3,-100000,-100000,-100000,-100000,-100000,-100000,44.0,6.3,1,5.0,2,3,1,1,1,1
1,1,37.7,44,28,-100000,4,3,2,5,4,4,1,1,-100000,3,5,45.0,70.0,3,2.0,1,3,2,0,5,1
1,1,37.0,56,24,3,1,4,2,4,4,3,1,1,-100000,-100000,-100000,35.0,61.0,3,2.0,2,2,2,0,5,3
2,1,38.0,42,12,3,-100000,3,1,1,-100000,1,-100000,-100000,-100000,-100000,2,37.0,5.8,-100000,-100000,2,3,1,1,1,1
1,1,-100000,60,40,3,-100000,1,1,-100000,4,-100000,3,2,-100000,-100000,5,42.0,72.0,-100000,-100000,1,3,1,1,1,1
2,1,38.4,80,60,3,2,2,1,3,2,1,2,2,-100000,1,1,54.0,6.9,-100000,-100000,2,0,0,0,0,1
2,1,37.8,48,12,2,1,2,1,3,-100000,1,2,-100000,-100000,2,-100000,48.0,7.3,1,-100000,2,0,0,0,0,1
-100000,1,38.0,65,40,-100000,1,4,2,2,-100000,-100000,-100000,-100000,-100000,-100000,5,-100000,-100000,-100000,-100000,1,3,1,1,1,-100000
2,1,37.9,45,36,3,3,3,2,2,3,1,2,1,-100000,3,-100000,33.0,5.7,3,-100000,1,2,2,0,5,1
2,1,39.0,84,12,3,1,5,1,2,4,2,1,2,7.0,-100000,4,62.0,5.9,2,2.2,1,2,2,0,8,2
2,1,38.2,60,24,3,1,3,2,3,3,2,3,3,-100000,4,4,53.0,7.5,2,1.4,2,1,1,2,4,1
1,1,-100000,140,-100000,-100000,-100000,4,2,5,4,4,1,1,-100000,-100000,5,30.0,69.0,-100000,-100000,2,6,1,1,2,2
1,1,37.9,120,60,3,3,3,1,5,4,4,2,2,7.5,4,5,52.0,6.6,3,1.8,1,3,2,0,5,2
2,1,38.0,72,36,1,1,3,1,3,-100000,2,2,1,-100000,3,5,38.0,6.8,2,2.0,2,3,1,2,4,1
2,2,38.0,92,28,1,1,2,1,1,3,2,3,-100000,7.2,-100000,-100000,37.0,6.1,1,1.1,2,0,0,0,0,1
1,1,38.3,66,30,2,3,1,1,2,4,3,3,2,8.5,4,5,37.0,6.0,-100000,-100000,1,5,1,1,1,1
2,1,37.5,48,24,3,1,1,1,2,1,-100000,1,1,-100000,3,2,43.0,6.0,1,2.8,2,7,1,1,1,1
1,1,37.5,88,20,2,3,3,1,4,3,3,-100000,-100000,-100000,-100000,-100000,35.0,6.4,1,-100000,1,2,2,0,5,2
2,2,-100000,150,60,4,4,4,2,5,4,4,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,1,1,4,0,0,2
1,1,39.7,100,30,-100000,-100000,6,2,4,4,3,1,-100000,-100000,4,5,65.0,75.0,-100000,-100000,1,3,2,0,5,3
1,1,38.3,80,-100000,3,3,4,2,5,4,3,2,1,-100000,4,4,45.0,7.5,2,4.6,1,3,2,0,9,1
2,1,37.5,40,32,3,1,3,1,3,2,3,2,1,-100000,-100000,5,32.0,6.4,1,1.1,1,3,1,2,4,1
1,1,38.4,84,30,3,1,5,2,4,3,3,2,3,6.5,4,4,47.0,7.5,3,-100000,1,6,1,1,1,2
1,1,38.1,84,44,4,-100000,4,2,5,3,1,1,3,5.0,-100000,4,60.0,6.8,-100000,5.7,1,2,2,0,9,2
2,1,38.7,52,-100000,1,1,1,1,1,3,1,-100000,-100000,-100000,1,3,4.0,74.0,-100000,-100000,2,0,0,0,0,1
2,1,38.1,44,40,2,1,3,1,3,3,1,-100000,-100000,-100000,1,3,35.0,6.8,-100000,-100000,2,0,0,0,0,1
2,1,38.4,52,20,2,1,3,1,1,3,2,2,1,-100000,3,5,41.0,63.0,1,1.0,2,0,0,0,0,1
1,1,38.2,60,-100000,1,-100000,3,1,2,1,1,1,1,-100000,4,4,43.0,6.2,2,3.9,1,2,2,0,6,1
2,1,37.7,40,18,1,1,1,-100000,3,2,1,1,1,-100000,3,3,36.0,3.5,-100000,-100000,2,0,4,0,0,1
1,1,39.1,60,10,-100000,1,1,-100000,2,3,-100000,-100000,-100000,-100000,4,4,-100000,-100000,-100000,-100000,1,2,1,1,3,1
2,1,37.8,48,16,1,1,1,1,-100000,1,1,2,1,-100000,4,3,43.0,7.5,-100000,-100000,2,0,0,0,0,1
1,1,39.0,120,-100000,4,3,5,2,2,4,3,2,3,8.0,-100000,-100000,65.0,8.2,3,4.6,2,5,1,1,0,1
1,1,38.2,76,-100000,2,3,2,1,5,3,3,1,2,6.0,1,5,35.0,6.5,2,0.9,1,3,2,0,5,1
2,1,38.3,88,-100000,-100000,-100000,6,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,2,2,3,0,0,2
1,1,38.0,80,30,3,3,3,1,-100000,-100000,-100000,-100000,-100000,6.0,-100000,-100000,48.0,8.3,-100000,4.3,1,2,1,1,1,1
1,1,-100000,-100000,-100000,3,1,1,1,2,3,3,1,3,6.0,4,4,-100000,-100000,2,-100000,1,2,1,1,3,2
1,1,37.6,40,-100000,1,1,1,1,1,1,1,-100000,-100000,-100000,1,1,-100000,-100000,2,2.1,1,3,1,1,10,1
2,1,37.5,44,-100000,1,1,1,1,3,3,2,-100000,-100000,-100000,-100000,-100000,45.0,5.8,2,1.4,2,3,1,1,1,1
2,1,38.2,42,16,1,1,3,1,1,3,1,-100000,-100000,-100000,1,-100000,35.0,60.0,1,1.0,2,0,0,0,0,1
2,1,38.0,56,44,3,3,3,-100000,-100000,1,1,2,1,-100000,4,-100000,47.0,70.0,2,1.0,2,0,0,0,0,1
2,1,38.3,45,20,3,3,2,2,2,4,1,2,-100000,-100000,4,-100000,-100000,-100000,-100000,-100000,2,0,0,0,0,1
1,1,-100000,48,96,1,1,3,1,-100000,4,1,2,1,-100000,1,4,42.0,8.0,1,-100000,1,2,2,0,8,1
1,1,37.7,55,28,2,1,2,1,2,3,3,-100000,3,5.0,4,5,-100000,-100000,-100000,-100000,1,3,2,0,9,1
2,1,36.0,100,20,4,3,6,2,2,4,3,1,1,-100000,4,5,74.0,5.7,2,2.5,1,3,2,0,5,3
1,1,37.1,60,20,2,-100000,4,1,3,-100000,3,-100000,2,5.0,3,4,64.0,8.5,2,-100000,1,7,1,1,1,1
2,1,37.1,114,40,3,-100000,3,2,2,2,1,-100000,-100000,-100000,-100000,3,32.0,-100000,3,6.5,2,0,4,0,0,1
1,1,38.1,72,30,3,3,3,1,4,4,3,2,1,-100000,3,5,37.0,56.0,3,1.0,1,4,2,0,6,1
1,1,37.0,44,12,3,1,1,2,1,1,1,-100000,-100000,-100000,4,2,40.0,6.7,3,8.0,1,2,2,0,8,1
1,1,38.6,48,20,3,1,1,1,4,3,1,-100000,-100000,-100000,3,-100000,37.0,75.0,-100000,-100000,1,3,1,1,1,1
1,1,-100000,82,72,3,1,4,1,2,3,3,-100000,3,-100000,4,4,53.0,65.0,3,2.0,1,2,2,0,9,3
1,2,38.2,78,60,4,4,6,-100000,3,3,3,-100000,-100000,-100000,1,-100000,59.0,5.8,3,3.1,1,1,4,0,0,2
2,1,37.8,60,16,1,1,3,1,2,3,2,1,2,-100000,3,-100000,41.0,73.0,-100000,-100000,2,4,1,2,4,3
1,1,38.7,34,30,2,-100000,3,1,2,3,-100000,-100000,-100000,-100000,-100000,-100000,33.0,69.0,-100000,2.0,1,7,1,1,3,3
1,1,-100000,36,12,1,1,1,1,1,2,1,1,1,-100000,1,5,44.0,-100000,-100000,-100000,1,3,1,1,10,1
2,1,38.3,44,60,-100000,-100000,1,1,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,6.4,36.0,-100000,-100000,1,0,0,0,0,1
2,1,37.4,54,18,3,-100000,1,1,3,4,3,2,2,-100000,4,5,30.0,7.1,2,-100000,1,7,1,1,1,1
1,1,-100000,-100000,-100000,4,3,-100000,2,2,4,1,-100000,-100000,-100000,-100000,-100000,54.0,76.0,3,2.0,1,8,4,0,5,1
1,1,36.6,48,16,3,1,3,1,4,1,1,1,1,-100000,-100000,-100000,27.0,56.0,-100000,-100000,1,4,2,0,6,3
1,1,38.5,90,-100000,1,1,3,1,3,3,3,2,3,2.0,4,5,47.0,79.0,-100000,-100000,1,6,1,1,2,1
1,1,-100000,75,12,1,1,4,1,5,3,3,-100000,3,5.8,-100000,-100000,58.0,8.5,1,-100000,1,2,2,0,9,1
2,1,38.2,42,-100000,3,1,1,1,1,1,2,2,1,-100000,3,2,35.0,5.9,2,-100000,2,3,1,1,3,1
1,2,38.2,78,60,4,4,6,-100000,3,3,3,-100000,-100000,-100000,1,-100000,59.0,5.8,3,3.1,1,2,2,0,5,2
2,1,38.6,60,30,1,1,3,1,4,2,2,1,1,-100000,-100000,-100000,40.0,6.0,1,-100000,1,3,2,0,5,1
2,1,37.8,42,40,1,1,1,1,1,3,1,-100000,-100000,-100000,3,3,36.0,6.2,-100000,-100000,2,4,1,2,4,1
1,1,38.0,60,12,1,1,2,1,2,1,1,1,1,-100000,1,4,44.0,65.0,3,2.0,1,2,2,0,9,3
2,1,38.0,42,12,3,-100000,3,1,1,1,1,-100000,-100000,-100000,-100000,1,37.0,5.8,-100000,-100000,2,3,1,1,1,1
2,1,37.6,88,36,3,1,1,1,3,3,2,1,3,1.5,-100000,-100000,44.0,6.0,-100000,-100000,1,2,1,1,2,2
